Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
89,2025-07-30 16:51:51,cs4,,,,,True,1.0,[[222.07361405]],0.9526521706486808,1.8749693357414537e-07,50,20,0.1,,,,,,1.1399121284484863,,,
90,2025-07-30 16:52:07,cs5,250.0,5.0,20.0,0.05,True,0.0,[[143.76569515]],0.7393077427549167,0.0072256672914549,50,20,0.1,1.0,1.0,0.8,,3.0,14.541004180908203,,,
91,2025-07-30 16:52:45,cs1,250.0,5.0,20.0,0.05,True,0.0,[[13.71117157]],0.7393303412494816,0.0072252742907905,50,10,0.01,1.0,1.0,0.8,,5.0,38.06865096092224,50.0,1.0,
92,2025-07-30 16:52:47,cs2,250.0,20.0,,,True,0.0,[[1.94284539]],0.8604744766803886,6.511310943056369e-11,50,10,0.01,,,,,,4.562453985214233,,,
93,2025-07-30 16:52:53,cs3,250.0,5.0,20.0,0.05,True,0.0,[[38.8918951]],0.7975461500410952,0.0027154495152433,50,10,0.01,,,,,,51.3529908657074,,,3.0
94,2025-07-30 16:53:45,cs4,,,,,True,1.0,[[11.84463124]],0.9526959860071664,1.874781134243208e-07,50,10,0.01,,,,,,1.1100351810455322,,,
95,2025-07-30 16:54:07,cs5,250.0,5.0,20.0,0.05,True,0.0,[[13.71119255]],0.739307742747248,0.0072256672916732,50,10,0.01,1.0,1.0,0.8,,5.0,21.40838599205017,,,
96,2025-07-30 16:54:51,cs1,250.0,5.0,20.0,0.05,True,0.0,[[41.87143977]],0.2882178890540409,0.0277266920279991,50,10,0.05,1.0,1.0,0.8,,5.0,43.637884855270386,50.0,1.0,
97,2025-07-30 16:54:53,cs2,250.0,20.0,,,True,0.12,[[65.87830453]],0.5307416465890367,0.0092151914371241,50,10,0.05,,,,,,9.898842096328735,,,
98,2025-07-30 16:55:04,cs3,250.0,5.0,20.0,0.05,True,0.0,[[71.20321188]],0.2430698070333718,0.0264499014507719,50,10,0.05,,,,,,70.91836309432983,,,3.0
99,2025-07-30 16:56:15,cs4,,,,,True,0.0,[[280.81010504]],0.5262956864178175,0.0093290789409926,50,10,0.05,,,,,,2.48917007446289,,,
100,2025-07-30 16:56:36,cs5,250.0,5.0,20.0,0.05,True,0.0,[[71.48662912]],0.3015558787749537,0.0232819041256243,50,10,0.05,1.0,1.0,0.8,,5.0,18.68048405647278,,,
101,2025-07-30 16:57:22,cs1,250.0,5.0,20.0,0.05,True,0.0,[[83.76888324]],0.2808791347200796,0.027490917193461,50,10,0.1,1.0,1.0,0.8,,5.0,45.52527689933777,50.0,1.0,
102,2025-07-30 16:57:24,cs2,250.0,20.0,,,True,0.06,[[75.48367928]],0.246591797123907,0.0262617148854174,50,10,0.1,,,,,,2.32950210571289,,,
103,2025-07-30 16:57:27,cs3,250.0,5.0,20.0,0.05,True,0.0,[[141.59042458]],0.2343526165264609,0.0269131792036413,50,10,0.1,,,,,,42.9590859413147,,,3.0
104,2025-07-30 16:58:10,cs4,,,,,True,0.0,[[562.14142889]],0.5262956885587625,0.0093290787920497,50,10,0.1,,,,,,1.167507886886597,,,
105,2025-07-30 16:58:23,cs5,250.0,5.0,20.0,0.05,True,0.0,[[143.27199974]],0.30155575605803,0.0232819108600528,50,10,0.1,1.0,1.0,0.8,,5.0,12.228083848953249,,,
106,2025-07-30 16:58:57,cs1,250.0,5.0,20.0,0.05,True,0.0,[[7.59998017]],0.275293379905978,0.0271213779019871,50,15,0.01,1.0,1.0,0.8,,5.0,33.960488080978394,50.0,1.0,
107,2025-07-30 16:58:59,cs2,250.0,20.0,,,True,0.28,[[-0.54981596]],0.5503189393450018,0.0082350462947719,50,15,0.01,,,,,,1.0486876964569092,,,
